,Symbol,Sharpe Ratio,Hurst
99,ANET/CFG,0.27966687028291043,0.181351032746855
100,ANET/CL,0.6801730210182677,0.33302403686327203
101,ANET/CMA,1.0641965305124275,0.26624370544956905
102,ANET/CME,0.5368099915938613,0.2980539177189891
103,ANET/COF,0.7876651563655399,0.25830900590622585
104,ANET/COTY,0.6622206453904255,0.32292810547139733
105,ANET/DD,0.7180163265457259,0.28093083184328393
106,ANET/DGX,0.389049692919544,0.19677884743472301
107,ANET/DHI,0.8714297652950366,0.27527865263255374
108,ANET/DUK,0.7099404078734723,0.3379678927630327
109,ANET/DXC,0.588641340698673,0.48166545582743764
110,ANET/EA,0.7307001603148898,0.4091950428028493
111,ANET/EFX,0.9021411516029278,0.30381580538296643
112,ANET/EMN,0.8497302658271592,0.27509343742803116
