Date,Open,High,Low,Close,Adj Close,Volume
2008-04-21 21:00:00,2.5216250000000002,2.5347,2.4909600000000003,2.4943999999999997,2.4943999999999997,36748
2008-04-22 21:00:00,2.4943999999999997,2.50767,2.487705,2.50185,2.50185,42489
2008-04-23 21:00:00,2.50185,2.5078,2.4735,2.478295,2.478295,38287
2008-04-24 21:00:00,2.478295,2.5073749999999997,2.478245,2.50385,2.50385,41699
2008-04-25 21:00:00,2.50385,2.5462,2.50332,2.5393,2.5393,44050
2008-04-28 21:00:00,2.5393,2.54139,2.5152099999999997,2.53415,2.53415,33195
2008-04-29 21:00:00,2.53415,2.55903,2.5331349999999997,2.53925,2.53925,43248
2008-04-30 21:00:00,2.53925,2.5467199999999997,2.517055,2.53945,2.53945,41253
2008-05-01 21:00:00,2.53945,2.5559200000000004,2.53439,2.54039,2.54039,33523
2008-05-02 21:00:00,2.54039,2.55285,2.519625,2.52584,2.52584,35387
2008-05-05 21:00:00,2.52584,2.5331,2.50155,2.51025,2.51025,17340
2008-05-06 21:00:00,2.51025,2.516,2.489095,2.49345,2.49345,35399
2008-05-07 21:00:00,2.49345,2.50772,2.48608,2.50015,2.50015,38551
2008-05-08 21:00:00,2.50015,2.5430099999999998,2.4965349999999997,2.53305,2.53305,49042
2008-05-09 21:00:00,2.53305,2.545415,2.5197599999999998,2.53953,2.53953,39815
2008-05-12 21:00:00,2.53953,2.55774,2.53315,2.538565,2.538565,36352
2008-05-13 21:00:00,2.538565,2.5473,2.53092,2.5458,2.5458,42690
2008-05-14 21:00:00,2.5458,2.55846,2.542845,2.5572,2.5572,39004
2008-05-15 21:00:00,2.5572,2.58301,2.54486,2.5488,2.5488,45082
2008-05-16 21:00:00,2.5488,2.557,2.5253,2.52897,2.52897,39647
2008-05-19 21:00:00,2.52897,2.5398,2.5137099999999997,2.5244999999999997,2.5244999999999997,32547
2008-05-20 21:00:00,2.5244999999999997,2.543845,2.5202150000000003,2.54275,2.54275,37281
2008-05-21 21:00:00,2.54275,2.5472599999999996,2.51506,2.5397499999999997,2.5397499999999997,37979
2008-05-22 21:00:00,2.5397499999999997,2.5429399999999998,2.49912,2.5314,2.5314,37770
2008-05-23 21:00:00,2.5314,2.5318,2.5073,2.520485,2.520485,30027
2008-05-26 21:00:00,2.520485,2.5286999999999997,2.512595,2.51845,2.51845,14251
2008-05-27 21:00:00,2.51845,2.521995,2.4983449999999996,2.5037000000000003,2.5037000000000003,38283
2008-05-28 21:00:00,2.5037000000000003,2.5285200000000003,2.49962,2.52055,2.52055,39691
2008-05-29 21:00:00,2.52055,2.54167,2.51,2.5366999999999997,2.5366999999999997,44998
2008-05-30 21:00:00,2.5366999999999997,2.5374,2.51624,2.52796,2.52796,38606
2008-06-02 21:00:00,2.52796,2.52796,2.496205,2.50615,2.50615,41302
2008-06-03 21:00:00,2.50615,2.51558,2.4925499999999996,2.51235,2.51235,42149
2008-06-04 21:00:00,2.51235,2.5215,2.49348,2.50765,2.50765,42934
2008-06-05 21:00:00,2.50765,2.5623,2.5063500000000003,2.5500499999999997,2.5500499999999997,38520
2008-06-06 21:00:00,2.5500499999999997,2.5737,2.5450999999999997,2.56571,2.56571,34741
2008-06-09 21:00:00,2.56571,2.605055,2.558805,2.6022499999999997,2.6022499999999997,44604
2008-06-10 21:00:00,2.6022499999999997,2.61164,2.5846400000000003,2.5959000000000003,2.5959000000000003,54439
2008-06-11 21:00:00,2.5959000000000003,2.6075999999999997,2.5771550000000003,2.5987,2.5987,43405
2008-06-12 21:00:00,2.5987,2.6039700000000003,2.588125,2.59645,2.59645,47577
2008-06-13 21:00:00,2.59645,2.6102,2.58305,2.5988800000000003,2.5988800000000003,40387
2008-06-16 21:00:00,2.5988800000000003,2.6183300000000003,2.58843,2.6061,2.6061,36136
2008-06-17 21:00:00,2.6061,2.61017,2.58031,2.59055,2.59055,47543
2008-06-18 21:00:00,2.59055,2.594845,2.5787,2.58155,2.58155,38546
2008-06-19 21:00:00,2.58155,2.60292,2.5799250000000002,2.58605,2.58605,39317
